Ticker,Price,High52W,PctBelow,MarketCapM,AvgVolK,AvgDolVolM,Sector,Industry,Indexes,AI,Uranium,Chg3moPct,Px3moAgo,TrendUp,DataFlag
BMNR,19.82,160.95,87.69,11289.0,41709.7,826.68,,,,,,-7.81,21.5,,Check: 88% below high
ODD,12.41,79.18,84.33,712.8,2289.0,28.41,Consumer Defensive,Household & Personal Products,,,,-15.81,14.74,,Check: 84% below high
FIG,22.74,142.92,84.09,12015.3,17063.5,388.02,Technology,Software - Application,,,,-27.21,31.24,,Check: 84% below high
PAR,14.68,72.15,79.66,605.3,1911.7,28.05,Technology,Software - Application,,,,-29.38,20.78,,Check: 80% below high
BKKT,12.85,49.79,74.19,573.3,1563.9,20.1,Technology,Software - Infrastructure,,,,18.11,10.88,Y,Check: 74% below high
DOCS,19.75,76.51,74.18,3612.6,3668.1,72.46,Healthcare,Health Information Services,,,,-19.04,24.4,,Check: 74% below high
VIA,14.95,56.31,73.44,1215.8,753.5,11.27,Technology,Software - Application,,,,-15.08,17.61,,Check: 73% below high
KD,12.16,44.2,72.48,2742.2,3883.9,47.24,Technology,Information Technology Services,,,,0.52,12.1,,Check: 72% below high
BETR,27.13,94.06,71.16,511.9,544.1,14.76,,,,,,-12.29,30.93,,Check: 71% below high
WGS,49.39,170.87,71.09,1466.3,1166.3,57.6,Healthcare,Diagnostics & Research,,,,-37.4,78.9,,Check: 71% below high
QFIN,12.34,42.43,70.92,1502.4,1454.1,17.94,Financial Services,Credit Services,,,,-10.37,13.77,,Check: 71% below high
BLSH,35.14,118.0,70.22,5328.9,1283.8,45.11,Technology,Software - Infrastructure,,,,6.84,32.89,Y,Check: 70% below high
FMC,13.25,43.45,69.5,1656.9,3327.3,44.09,Basic Materials,Agricultural Inputs,,,,-11.06,14.9,,
RBLX,46.32,150.59,69.24,33164.1,10614.6,491.67,Communication Services,Electronic Gaming & Multimedia,,,,-31.95,68.07,,
VERX,13.25,42.44,68.78,2144.1,1482.7,19.65,Technology,Software - Application,,,,-1.05,13.39,,
EFOR,19.32,60.75,68.2,792.1,1257.5,24.3,Technology,Information Technology Services,,,,-52.92,41.04,,
CSGP,32.84,97.43,66.29,13410.4,6944.0,228.04,Real Estate,Real Estate Services,SP500,,,-26.66,44.78,,
QDEL,12.02,35.58,66.22,819.7,2218.5,26.67,Healthcare,Medical Devices,,,,-48.48,23.33,,
ELF,52.33,150.99,65.35,3110.2,2776.3,145.27,Consumer Defensive,Household & Personal Products,,,,-43.79,93.09,,
UPST,30.82,87.3,64.7,2949.8,4782.5,147.4,,,,,,8.37,28.44,Y,
PSIX,43.1,121.78,64.6,993.6,831.8,35.85,Industrials,Specialty Industrial Machinery,,,,-54.87,95.51,,
LBRDK,33.72,95.0,64.5,4838.7,1529.9,51.59,Communication Services,Telecom Services,,,,-35.82,52.54,,
CRML,11.43,32.15,64.46,1676.4,11979.1,136.86,Basic Materials,Other Industrial Metals & Mining,,,,6.18,10.76,Y,
BBNX,11.86,32.71,63.73,528.7,1013.1,12.02,Healthcare,Medical Devices,,,,-7.95,12.89,,
LIF,40.9,112.54,63.66,3313.8,1299.8,53.15,Technology,Software - Application,,,,-17.87,49.79,,
STUB,10.16,27.89,63.57,3814.4,4912.2,49.91,Communication Services,Internet Content & Information,,,,10.43,9.2,Y,
SPSC,53.91,147.61,63.48,1979.2,634.3,34.19,Technology,Software - Application,,,,-0.42,54.14,,
CAI,15.72,42.5,63.01,4443.7,2582.4,40.6,Healthcare,Biotechnology,,,,-14.15,18.31,,
Z,36.2,93.88,61.44,8282.6,3761.3,136.16,Communication Services,Internet Content & Information,,,,-20.11,45.31,,
ALOY,10.48,26.9,61.06,626.7,1663.1,17.42,Basic Materials,Other Industrial Metals & Mining,,,,-34.45,15.98,,
CHYM,17.64,44.94,60.75,6721.2,4980.7,87.86,Technology,Software - Application,,,,-16.44,21.11,,
BLKB,29.51,74.88,60.59,1355.5,586.2,17.3,Technology,Software - Application,,,,-38.32,47.84,,
FOUR,43.1,108.5,60.28,3419.1,2227.4,96.0,Technology,Software - Infrastructure,,,,-24.87,57.37,,
KVYO,14.75,36.76,59.87,4414.4,5412.3,79.83,Technology,Software - Application,,,,-14.44,17.24,,
SRAD,13.06,32.22,59.48,3863.6,3498.5,45.67,Technology,Software - Application,,,,-26.62,17.79,,
ZG,36.65,90.22,59.38,8385.6,1081.6,39.64,Communication Services,Internet Content & Information,,,,-19.33,45.43,,
CBZ,31.72,77.91,59.29,1701.7,1194.9,37.9,Industrials,Specialty Business Services,,,,16.28,27.28,Y,
XNDU,17.33,42.44,59.15,5174.7,5495.7,95.27,Technology,Software - Infrastructure,,,,116.42,8.01,Y,
GPCR,38.92,94.9,58.99,2766.2,908.8,35.37,Healthcare,Biotechnology,,,,-41.5,66.53,,
ZLAB,18.47,44.34,58.34,2075.2,766.0,14.15,Healthcare,Biotechnology,,,,-4.74,19.39,,
SOC,14.01,33.29,57.92,2162.6,5189.0,72.7,Energy,Oil & Gas Drilling,,,,53.45,9.13,Y,
ZBIO,19.05,44.6,57.29,1202.7,695.8,13.25,Healthcare,Biotechnology,,,,-26.82,26.03,,
CNXC,25.67,59.94,57.17,1566.1,1629.1,41.82,Technology,Information Technology Services,,,,-16.71,30.82,,
CRK,13.54,31.17,56.56,3976.6,2342.5,31.72,Energy,Oil & Gas E&P,,,,-26.41,18.4,,
BETA,17.2,39.5,56.44,3970.2,1681.1,28.92,Industrials,Aerospace & Defense,,,,-7.85,18.67,,
KTOS,58.67,134.0,56.22,11001.8,4360.1,255.8,Industrials,Aerospace & Defense,,,,-33.5,88.23,,
GPK,10.17,23.2,56.17,3009.2,7365.8,74.91,Consumer Cyclical,Packaging & Containers,,,,-14.36,11.88,,
CHWY,21.34,48.62,56.1,8729.8,8446.7,180.29,Consumer Cyclical,Internet Retail,,,,-19.33,26.46,,
NCNO,15.46,33.92,54.42,1682.0,2954.1,45.67,Technology,Software - Application,,,,-2.21,15.81,,
TEM,47.72,104.32,54.26,8568.8,5517.9,263.31,Healthcare,Health Information Services,,Y,,-11.15,53.71,,
PLNT,52.4,114.47,54.23,4145.8,2313.7,121.22,Consumer Cyclical,Leisure,,,,-34.55,80.05,,
ERAS,11.25,24.28,53.67,3498.6,6598.7,74.24,Healthcare,Biotechnology,,,,-16.42,13.46,,
FIGR,36.3,78.0,53.46,8026.0,5125.1,186.04,,,,,,4.73,34.66,Y,
WAY,19.53,41.49,52.92,3747.1,2449.8,47.86,Healthcare,Health Information Services,,,,-19.94,24.4,,
TSCO,29.81,63.19,52.83,15631.2,8962.9,267.14,Consumer Cyclical,Specialty Retail,SP500,,,-42.43,51.77,,
FSLY,16.5,34.82,52.61,2582.2,12245.6,202.05,Technology,Software - Application,,,,-9.09,18.15,,
CBRL,33.4,70.4,52.56,746.4,1095.8,36.6,Consumer Cyclical,Restaurants,,,,7.77,30.99,Y,
APPN,21.93,46.06,52.39,1609.9,857.9,18.81,Technology,Software - Infrastructure,,,,-16.71,26.33,,
TOST,23.68,49.66,52.31,13737.3,11047.2,261.65,Technology,Software - Infrastructure,,,,-11.66,26.81,,
DFH,15.14,31.5,51.94,1385.4,769.2,11.64,,,,,,-17.92,18.44,,
CRVS,13.02,26.95,51.71,1094.4,1395.9,18.17,Healthcare,Biotechnology,,,,-28.49,18.2,,
BL,28.8,59.57,51.66,1689.1,1197.2,34.47,Technology,Software - Application,,,,-12.34,32.85,,
GPGI,12.94,26.77,51.66,3750.8,4492.8,58.14,Industrials,Metal Fabrication,,,,-43.8,23.02,,
SDGR,13.36,27.63,51.63,998.6,1347.8,18.01,Healthcare,Health Information Services,,,,13.26,11.8,Y,
MAZE,26.07,53.65,51.4,1443.0,856.6,22.33,Healthcare,Biotechnology,,,,-44.8,47.23,,
DQ,17.79,36.59,51.38,1203.8,758.8,13.5,Technology,Semiconductor Equipment & Materials,,,,-29.12,25.1,,
PINS,19.42,39.93,51.35,10881.1,18157.0,352.7,Communication Services,Internet Content & Information,,,,10.56,17.57,Y,
NNE,29.62,60.87,51.34,1542.7,2127.3,63.01,Industrials,Specialty Industrial Machinery,,,,8.9,27.2,Y,
SOFI,16.16,32.73,50.64,20722.7,65376.3,1056.15,Financial Services,Credit Services,,,,-16.25,19.29,,
BILI,17.98,36.4,50.6,7491.0,2901.7,52.17,Communication Services,Internet Content & Information,,,,-38.86,29.41,,
LI,15.93,32.03,50.27,16214.0,3497.2,55.69,Consumer Cyclical,Auto Manufacturers,,,,-13.69,18.45,,
ETOR,39.88,79.96,50.13,3171.5,1198.3,47.79,Financial Services,Capital Markets,,,,22.93,32.44,Y,
TRIP,10.1,20.16,49.9,1175.2,3641.9,36.78,Consumer Cyclical,Travel Services,,,,0.2,10.08,Y,
MBLY,10.12,20.18,49.85,8522.9,6404.5,64.81,Consumer Cyclical,Auto Parts,,,,15.13,8.79,Y,
MGNI,13.4,26.65,49.7,1935.2,2346.9,31.46,Communication Services,Advertising Agencies,,,,11.99,11.97,Y,
NSP,31.12,61.72,49.57,1188.0,974.0,30.32,Industrials,Staffing & Employment Services,,,,43.12,21.75,Y,
TNDM,15.06,29.65,49.21,1032.0,2189.6,32.98,,,,,,-42.1,26.01,,
PEGA,34.59,68.02,49.15,5780.6,2154.5,74.53,Technology,Software - Application,,,,-19.65,43.05,,
PSKY,10.52,20.67,49.14,11768.1,13419.4,141.11,Communication Services,Entertainment,SP500,,,4.03,10.11,,
BRO,57.68,112.83,48.88,19550.5,3185.3,183.73,Financial Services,Insurance Brokers,SP500,,,-17.42,69.85,,
AVPT,10.28,19.95,48.47,2179.5,1834.2,18.86,Technology,Software - Infrastructure,,,,0.49,10.23,,
HPP,11.24,21.7,48.2,609.7,1259.9,14.16,Real Estate,REIT - Office,,,,76.73,6.36,Y,
GRND,13.03,25.13,48.15,2315.8,1415.2,18.44,,,,,,16.55,11.18,Y,
BTDR,14.48,27.8,47.9,3524.4,7347.8,106.43,Technology,Software - Application,,,,69.42,8.55,Y,
KSS,12.98,24.84,47.74,1457.0,5034.3,65.35,Consumer Cyclical,Department Stores,,,,-23.61,16.99,,
DOCU,49.6,94.67,47.6,9637.8,4219.3,209.3,Technology,Software - Application,,,,14.67,43.26,Y,
U,27.4,52.15,47.46,11961.1,13456.1,368.7,Technology,Software - Application,,,,47.47,18.58,Y,
BSX,57.76,109.5,47.25,85859.3,16328.5,943.21,Healthcare,Medical Devices,SP500,,,-21.39,73.48,,
WWW,17.08,32.3,47.11,1400.8,1165.5,19.91,Consumer Cyclical,Footwear & Accessories,,,,-4.71,17.93,,
FND,49.01,92.4,46.96,5297.7,2895.1,141.89,Consumer Cyclical,Home Improvement Retail,,,,-28.46,68.51,,
FOXF,16.6,31.18,46.74,696.3,659.6,10.95,Consumer Cyclical,Auto Parts,,,,-12.7,19.02,,
LYFT,13.69,25.54,46.42,5196.0,16060.4,219.79,Technology,Software - Application,,,,2.13,13.4,Y,
JOBY,11.3,20.95,46.09,11110.2,26505.5,299.38,Industrials,Airports & Air Services,,,,15.02,9.82,Y,
ALKT,17.12,31.18,45.08,1832.7,1855.8,31.78,Technology,Software - Application,,,,4.61,16.37,,
PBH,48.05,87.12,44.85,2276.2,598.5,28.76,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-30.74,69.38,,
BBWI,18.26,33.03,44.71,3677.2,5851.2,106.84,Consumer Cyclical,Specialty Retail,,,,-19.45,22.67,,
CMG,32.33,58.42,44.67,41464.4,15788.8,510.37,Consumer Cyclical,Restaurants,SP500,,,-13.8,37.5,,
CALX,39.51,71.22,44.53,2519.7,936.6,37.0,Technology,Software - Infrastructure,,,,-22.65,51.07,,
FSK,10.99,19.81,44.49,3079.3,4390.0,48.27,Financial Services,Asset Management,,,,-13.4,12.7,,
PYPL,44.12,79.08,44.21,38914.1,16422.7,724.49,Financial Services,Credit Services,Nasdaq100|SP500,,,-6.49,47.18,,
BSY,32.94,58.97,44.14,10007.1,2854.3,94.02,Technology,Software - Application,,,,1.59,32.42,,
CSIQ,19.33,34.59,44.12,1310.9,2820.3,54.52,Technology,Solar,,,,-4.64,20.27,,
LIFE,18.18,32.5,44.06,1145.2,542.6,9.86,Financial Services,Insurance Brokers,,,,53.55,11.84,Y,
ARX,17.47,31.18,43.99,3810.9,1276.2,22.29,,,,,,70.56,10.24,Y,
OTF,10.84,19.34,43.97,5012.7,2190.1,23.73,Financial Services,Asset Management,,,,-2.6,11.12,,
OFRM,15.27,27.0,43.44,639.8,541.8,8.27,Consumer Defensive,Packaged Foods,,,,-31.83,22.4,,
ARE,47.86,84.26,43.2,8340.5,2396.0,114.67,Real Estate,REIT - Office,SP500,,,-10.07,53.22,,
ORLA,12.52,21.98,43.06,4330.1,2743.7,34.34,Basic Materials,Gold,,,,-37.24,19.94,,
ESTC,54.72,96.07,43.05,5663.1,2047.7,112.04,Technology,Software - Application,,Y,,-5.66,58.0,,
PATH,11.32,19.84,42.94,5891.4,32268.5,365.28,Technology,Software - Infrastructure,,Y,,13.88,9.94,,
LMND,57.2,99.9,42.74,4394.1,1841.8,105.35,Financial Services,Insurance - Property & Casualty,,,,10.32,51.85,,
OPCH,21.11,36.8,42.64,3314.9,2871.3,60.61,Healthcare,Medical Care Facilities,,,,-37.17,33.6,,
PCOR,47.52,82.32,42.27,7170.3,2432.7,115.6,Technology,Software - Application,,,,-10.0,52.8,,
QBTS,27.05,46.75,42.14,10020.5,30388.4,822.0,Technology,Computer Hardware,,,,37.66,19.65,Y,
SBSW,11.98,20.69,42.1,8666.0,5591.8,66.99,Basic Materials,Other Precious Metals & Mining,,,,-26.49,16.3,,
PAY,23.22,40.02,41.99,2920.2,561.5,13.03,Technology,Software - Infrastructure,,,,-3.99,24.18,,
TREX,39.9,68.78,41.99,4145.6,1957.9,78.12,Industrials,Building Products & Equipment,,,,-4.32,41.7,,
IE,12.53,21.55,41.86,1983.4,2079.9,26.06,Basic Materials,Copper,,,,-23.64,16.41,,
KEP,13.69,23.41,41.54,17570.6,831.5,11.38,Utilities,Utilities - Regulated Electric,,,,-40.24,22.9,,
NOMD,10.24,17.33,40.89,1432.2,1709.9,17.52,Consumer Defensive,Packaged Foods,,,,-15.39,12.11,,
FRPT,51.04,86.31,40.86,2508.2,1661.9,84.82,Consumer Defensive,Packaged Foods,,,,-35.9,79.63,,
MRAM,30.48,51.5,40.82,714.7,2501.7,76.25,Technology,Semiconductors,,,,166.67,11.43,Y,
EQPT,21.01,35.5,40.8,5303.7,1888.0,39.68,Industrials,Rental & Leasing Services,,,,-29.41,29.77,,
XPEV,16.74,28.24,40.73,15994.5,6703.4,112.18,Consumer Cyclical,Auto Manufacturers,,,,-7.95,18.18,,
OTEX,23.22,39.15,40.69,5634.6,2107.7,48.94,Technology,Software - Application,,,,-4.13,24.22,,
IP,31.86,53.57,40.51,16873.1,6859.6,218.58,Consumer Cyclical,Packaging & Containers,SP500,,,-25.93,43.02,,
FBIN,38.33,64.07,40.17,4572.5,2851.5,109.3,Industrials,Building Products & Equipment,,,,-28.78,53.82,,
HROW,32.85,54.85,40.11,1224.5,857.7,28.18,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-38.53,53.44,,
RELX,32.94,54.95,40.07,58220.3,3199.1,105.36,Industrials,Specialty Business Services,,,,2.72,32.06,Y,
TCOM,47.4,78.99,39.99,29848.0,2900.7,137.49,Consumer Cyclical,Travel Services,,,,-11.67,53.66,,
AMPH,18.79,31.26,39.89,828.5,630.9,11.85,Healthcare,Drug Manufacturers - Specialty & Generic,,,,-32.82,27.97,,
WGO,29.88,49.63,39.8,844.5,658.2,19.67,Consumer Cyclical,Recreational Vehicles,,,,-28.48,41.78,,
MIR,18.36,30.28,39.36,4491.9,3590.7,65.93,Industrials,Specialty Industrial Machinery,,,,-14.56,21.49,,
AEO,17.08,28.14,39.31,2861.4,5336.5,91.15,Consumer Cyclical,Apparel Retail,,,,-28.47,23.88,,
AGIO,27.94,46.0,39.26,1661.6,1023.5,28.6,Healthcare,Biotechnology,,,,-6.74,29.96,,
CXT,41.78,68.54,39.05,2403.8,741.1,30.96,Industrials,Specialty Industrial Machinery,,,,-17.82,50.83,,
VERA,34.29,56.05,38.82,2461.4,1180.3,40.47,Healthcare,Biotechnology,,,,-17.73,41.68,,
TPG,41.96,68.57,38.81,6732.6,3100.1,130.07,Financial Services,Asset Management,,,,-4.83,44.09,,
QGEN,35.43,57.82,38.72,7307.4,2019.7,71.56,Healthcare,Diagnostics & Research,,,,-27.13,48.62,,
PZZA,32.95,53.66,38.6,1084.1,1296.8,42.73,Consumer Cyclical,Restaurants,,,,-1.29,33.38,,
GME,22.0,35.81,38.55,9873.5,7316.6,161.0,Consumer Cyclical,Specialty Retail,,,,-9.15,24.22,,
MKC,46.72,75.94,38.47,12561.7,4062.0,189.8,Consumer Defensive,Packaged Foods,SP500,,,-31.71,68.42,,
PSN,55.22,89.5,38.3,5907.4,1264.6,69.83,Technology,Information Technology Services,,,,-15.28,65.18,,
MAN,28.56,46.15,38.12,1328.2,1136.4,32.46,Industrials,Staffing & Employment Services,,,,10.57,25.83,Y,
RVLV,19.6,31.68,38.12,1402.8,1129.0,22.13,,,,,,-19.52,24.36,,
MOS,22.86,36.94,38.1,7267.6,10029.9,229.33,Basic Materials,Agricultural Inputs,SP500,,,-13.67,26.49,,
BILL,35.48,57.21,37.98,3533.7,2087.9,74.08,Technology,Software - Application,,,,-17.87,43.2,,
BRSL,11.17,18.0,37.95,2065.6,1392.0,15.55,Consumer Cyclical,Gambling,,,,-17.75,13.58,,
NCLH,16.88,27.18,37.9,7749.8,23012.2,388.45,Consumer Cyclical,Travel Services,SP500,,,-29.11,23.81,,
AG,19.9,32.01,37.83,9826.0,16962.3,337.55,Basic Materials,Silver,,,,-32.26,29.38,,
XNCR,11.65,18.69,37.67,863.7,852.6,9.93,Healthcare,Biotechnology,,,,-2.75,11.98,,
KBR,33.63,53.75,37.43,4263.9,1650.8,55.51,Industrials,Engineering & Construction,,,,-17.22,40.63,,
CAG,13.31,21.25,37.34,6370.4,14768.5,196.64,Consumer Defensive,Packaged Foods,SP500,,,-26.88,18.21,,
MARA,14.7,23.45,37.31,5604.7,46992.1,690.78,Financial Services,Capital Markets,,,,71.53,8.57,Y,
RDNT,54.09,85.84,36.99,4253.3,866.4,46.86,Healthcare,Diagnostics & Research,,,,-22.74,70.01,,
EGO,32.19,51.08,36.98,8386.7,3042.9,97.95,Basic Materials,Gold,,,,-27.38,44.33,,
CRNX,36.58,57.99,36.92,3857.0,1194.9,43.71,Healthcare,Biotechnology,,,,-15.69,43.39,,
BTU,25.88,41.01,36.89,3153.1,3412.3,88.31,Energy,Thermal Coal,,,,-21.21,32.85,,
HDB,24.92,39.32,36.61,127891.3,9569.9,238.48,Financial Services,Banks - Regional,,,,-22.49,32.15,,
POET,13.22,20.81,36.5,2280.8,34624.3,457.56,Technology,Semiconductors,,,,107.78,6.36,Y,
SLM,21.89,34.44,36.45,4128.3,3654.5,80.0,Financial Services,Credit Services,,,,8.02,20.26,Y,
